Parameter,Value
num_simulations,1000
num_iterations,100
prob_spread,0.6
wind_direction,None
wind_intensity,0.0
num_obstacles,10
start_date,2015-02-10
end_date,2015-02-11
location,Chingaza National Park
display_simulations,False
auto_close_simulations,False
custom_csv_name,False
csv_name,results.csv
simulation_mode,hourly

Hourly Parameters
temperature_2m,True
relative_humidity_2m,True
wind_speed_10m,True
wind_direction_10m,True
soil_temperature_0_to_7cm,True
soil_temperature_7_to_28cm,True

Simulation,Burnt Trees,Iterations to Extinguish,Max Fire Size
212,973,54,973
213,1013,40,1013
214,1002,52,1002
215,992,54,992
216,985,58,985
217,1033,49,1033
218,999,44,999
219,1013,50,1013
220,1023,40,1023
221,979,45,979
222,984,48,984
223,1030,47,1030
224,1006,64,1006
225,989,52,989
226,916,42,916
227,1013,48,1013
228,972,44,972
229,1024,45,1024
230,1026,41,1026
231,958,48,958
232,1051,41,1051
233,983,45,983
234,1008,53,1008
235,986,41,986
236,979,44,979
237,1021,41,1021
238,978,45,978
239,1012,56,1012
240,921,52,921
241,967,46,967
242,1012,41,1012
243,987,48,987
244,966,47,966
245,998,62,998
246,994,43,994
247,1027,46,1027
248,1026,50,1026
249,954,45,954
250,1018,42,1018
251,965,45,965
252,1020,37,1020
253,1001,47,1001
254,998,49,998
255,949,45,949
256,909,58,909
257,995,38,995
258,992,48,992
259,978,59,978
260,975,51,975
261,1020,47,1020
262,1022,48,1022
263,917,46,917
264,878,64,878
265,979,50,979
266,998,87,998
267,1033,42,1033
268,1018,49,1018
269,945,43,945
270,993,57,993
271,1039,48,1039
272,1010,53,1010
273,927,41,927
274,1036,54,1036
275,975,58,975
276,995,44,995
277,1023,42,1023
278,1020,44,1020
279,1028,64,1028
280,992,39,992
281,882,53,882
282,1021,39,1021
283,1001,44,1001
284,1004,59,1003
285,980,47,980
286,1026,43,1026
287,980,44,980
288,1021,42,1021
289,995,49,995
290,1022,45,1022
291,988,54,988
292,1028,39,1028
293,1005,48,1005
294,939,48,939
295,1037,40,1037
296,979,42,979
297,1029,38,1029
298,955,43,955
299,1008,60,1008
300,953,39,953
301,995,46,995
302,963,41,963
303,959,51,959
304,976,55,976
305,936,89,936
306,1026,46,1026
307,1051,45,1051
308,898,57,898
309,982,49,982
310,963,46,963
311,996,43,996
312,933,48,933
313,961,49,961
314,946,50,946
315,1015,54,1015
316,920,58,920
317,992,63,992
318,1018,42,1018
319,976,40,976
320,1005,87,1005
321,1002,51,1002
322,1004,42,1004
323,1030,43,1030
324,1013,43,1013
325,1015,41,1015
326,1010,67,1010
327,946,43,946
328,1015,39,1015
329,998,52,998
330,1002,49,1002
331,982,42,982
332,1029,54,1029
333,1027,55,1027
334,984,66,984
335,1019,48,1019
336,977,53,976
337,1012,42,1012
338,991,45,991
339,961,52,961
340,1040,47,1040
341,1021,38,1021
342,992,42,992
343,1022,46,1022
344,1008,44,1008
345,998,48,998
346,980,45,980
347,986,47,986
348,1026,38,1026
349,1009,59,1009
350,1004,54,1004
351,973,53,973
352,1007,50,1007
353,996,44,996
354,994,48,993
355,1013,55,1013
356,976,47,976
357,1015,46,1015
358,1011,52,1011
359,1003,42,1003
360,1010,43,1010
361,988,46,988
362,978,42,978
363,993,51,993
364,1026,38,1026
365,1027,56,1027
366,1009,56,1009
367,922,43,922
368,994,61,994
369,958,50,958
370,1038,50,1038
371,1032,42,1032
372,993,41,993
373,992,43,992
374,1032,53,1032
375,1016,41,1016
376,1010,44,1010
377,1025,54,1025
378,979,44,979
379,1019,41,1019
380,1031,45,1031
381,991,65,991
382,977,43,977
383,932,43,932
384,1023,43,1023
385,1005,51,1005
386,1028,57,1028
387,969,44,969
388,1017,51,1017
389,1023,49,1023
390,935,59,935
391,1032,84,1032
392,1004,46,1004
393,1017,43,1017
394,972,46,972
395,999,56,999
396,1041,46,1041
397,1009,54,1009
398,1001,50,1001
399,1007,54,1007
400,1028,43,1028
401,980,84,980
402,990,43,990
403,989,46,989
404,1020,51,1020
405,966,42,966
406,981,42,981
407,968,47,968
408,973,44,973
409,1019,59,1019
410,1024,43,1024
411,1022,42,1022
412,915,58,915
413,1025,47,1025
414,984,51,984
415,980,41,980
416,1021,45,1021
417,977,40,977
418,1014,42,1014
419,1029,45,1029
420,1031,41,1031
421,976,41,976
422,952,41,952
423,994,51,994
424,1007,49,1007
425,1034,59,1034
426,1005,53,1005
427,1007,62,1007
428,962,41,962
429,968,39,968
430,988,45,988
431,996,44,996
432,992,41,992
433,980,42,980
434,965,47,965
435,1002,58,1002
436,1024,45,1024
437,1017,43,1017
438,1023,44,1023
439,1024,51,1024
440,994,52,994
441,996,41,996
442,1043,50,1043
443,1009,56,1009
444,985,59,985
445,990,39,990
446,989,42,989
447,988,46,988
448,1030,50,1030
449,978,54,978
450,1026,53,1026
451,1022,44,1022
452,1010,44,1010
453,988,46,988
454,985,42,985
455,999,48,999
456,1031,43,1031
457,1010,43,1010
458,989,50,989
459,955,38,955
460,1018,44,1018
461,1011,44,1011
462,993,50,993
463,1013,51,1013
464,1018,45,1018
465,993,43,993
466,1003,51,1003
467,1029,41,1029
468,994,65,994
469,1018,45,1018
470,964,45,964
471,1039,47,1039
472,1001,46,1001
473,931,41,931
474,929,45,929
475,987,40,987
476,1016,74,1016
477,1031,45,1031
478,862,52,862
479,1012,55,1012
480,981,45,981
481,999,46,999
482,1043,66,1043
483,1000,52,1000
484,1021,56,1021
485,998,57,998
486,997,43,997
487,1017,54,1017
488,997,37,997
489,988,46,988
490,919,57,919
491,949,51,949
492,1013,54,1013
493,976,47,976
494,1016,41,1016
495,988,55,988
496,1012,55,1012
497,924,55,924
498,1030,46,1030
499,997,47,997
500,1002,41,1002
501,1015,38,1015
502,922,55,922
503,1017,44,1017
504,1030,40,1030
505,1015,38,1015
506,984,52,984
507,1021,41,1021
508,1009,53,1009
509,1018,44,1018
510,1006,45,1006
511,990,55,990
512,994,52,994
513,999,46,999
514,1016,47,1016
515,1016,48,1016
516,949,60,949
517,1005,75,1005
518,983,42,983
519,951,44,951
520,991,43,991
521,1005,43,1005
522,970,52,970
523,1005,52,1005
524,1013,40,1013
525,994,60,994
526,1012,56,1012
527,1025,46,1025
528,996,51,996
529,1018,45,1018
530,989,49,989
531,979,51,979
532,1027,61,1027
533,976,54,976
534,1002,42,1002
535,1017,39,1017
536,980,53,980
537,994,45,994
538,912,54,912
539,1004,44,1004
540,959,61,959
541,1000,73,1000
542,1030,54,1030
543,992,43,992
544,1005,56,1005
545,1032,43,1032
546,972,45,972
547,934,48,934
548,912,52,912
549,966,65,966
550,993,44,993
551,1011,46,1011
552,989,44,989
553,949,60,949
554,1023,46,1023
555,988,49,988
556,1016,43,1016
557,982,45,982
558,957,45,957
559,951,55,951
560,1024,68,1024
561,935,62,935
562,1005,40,1005
563,1011,43,1011
564,1026,41,1026
565,986,46,986
566,1053,46,1053
567,1000,55,1000
568,871,46,871
569,1000,52,1000
570,999,47,999
571,1007,56,1007
572,1041,55,1041
573,974,91,974
574,1000,47,1000
575,915,47,915
576,1013,47,1013
577,1023,45,1023
578,999,52,999
579,976,44,976
580,970,41,970
581,889,42,889
582,1002,46,1002
583,1041,44,1041
584,1011,39,1011
585,1025,56,1025
586,1038,42,1038
587,1004,46,1004
588,983,43,983
589,1001,50,1001
590,1014,49,1014
591,1016,42,1016
592,971,58,971
593,1026,45,1026
594,1013,43,1013
595,1014,48,1014
596,957,47,957
597,998,52,998
598,1008,42,1008
599,980,69,980
600,999,40,999
601,1037,42,1037
602,1010,48,1010
603,1005,44,1005
604,940,47,940
605,1029,51,1029
606,980,43,980
607,1011,53,1011
608,1018,49,1018
609,993,47,993
610,994,55,994
611,1022,81,1022
612,973,45,973
613,1018,49,1018
614,994,45,994
615,982,47,982
616,1024,43,1024
617,926,42,926
618,1023,44,1023
619,1020,49,1020
620,1015,44,1015
621,994,50,994
622,1006,48,1006
623,1014,42,1014
624,1028,57,1028
625,995,66,995
626,996,52,996
627,1037,59,1037
628,998,41,998
629,978,42,978
630,1036,51,1036
631,997,46,997
632,999,38,999
633,1034,44,1034
634,1003,39,1003
635,980,64,980
636,863,63,863
637,1025,55,1025
638,1034,42,1034
639,1019,41,1019
640,994,40,994
641,907,50,907
642,1022,45,1022
643,956,59,956
644,1020,44,1020
645,979,38,979
646,985,46,985
647,1022,55,1022
648,1027,49,1027
649,1032,42,1032
650,970,46,970
651,989,42,989
652,932,62,932
653,1031,57,1031
654,950,40,950
655,1041,42,1041
656,992,43,992
657,1024,40,1024
658,1016,40,1016
659,1006,45,1006
660,998,45,998
661,1000,42,1000
662,985,38,985
663,1022,41,1022
664,1001,48,1001
665,954,58,954
666,1007,41,1007
667,968,42,968
668,951,42,951
669,982,44,982
670,1004,42,1004
671,933,47,933
672,1002,50,1002
673,1019,45,1019
674,997,39,997
675,1011,45,1011
676,987,45,987
677,1011,50,1011
678,1028,43,1028
679,1021,43,1021
680,1033,55,1033
681,1002,45,1002
682,997,53,997
683,905,43,905
684,988,48,988
685,1027,40,1027
686,989,40,989
687,1005,60,1005
688,958,44,958
689,1025,42,1025
690,1008,59,1008
691,994,58,994
692,1004,42,1004
693,1027,56,1027
694,1008,41,1008
695,1011,44,1011
696,963,42,963
697,1006,48,1006
698,954,45,954
699,1026,42,1026
700,975,58,975
701,999,45,999
702,989,49,989
703,1017,44,1017
704,980,41,980
705,1023,45,1023
706,1026,58,1026
707,905,37,905
708,1046,51,1046
709,1045,42,1045
710,1000,47,1000
711,1028,46,1028
712,974,45,974
713,949,49,949
714,1016,78,1016
715,1019,48,1019
716,958,63,958
717,996,42,996
718,1010,38,1010
719,991,45,991
720,1004,60,1004
721,948,52,948
722,949,42,949
723,951,54,951
724,1013,51,1013
725,942,43,942
726,991,61,991
727,1033,49,1033
728,981,50,981
729,1034,45,1034
730,997,41,997
731,994,44,994
732,1004,41,1004
733,984,67,984
734,1021,47,1021
735,984,46,984
736,1018,42,1018
737,1009,50,1009
738,925,39,925
739,1030,47,1030
740,997,47,997
741,1007,45,1007
742,975,44,975
743,1003,40,1003
744,968,42,968
745,989,54,989
746,1018,62,1018
747,981,40,981
748,1001,50,1001
749,970,53,970
750,1023,42,1023
751,1018,42,1018
752,998,58,998
753,994,49,994
754,1015,45,1015
755,1000,54,1000
756,979,44,979
757,1017,41,1017
758,925,57,925
759,946,49,946
760,996,54,996
761,1009,51,1009
762,1022,55,1022
763,980,44,980
764,997,45,997
765,976,42,976
766,937,43,937
767,1020,48,1020
768,1009,49,1009
769,987,58,987
770,1004,53,1004
771,1011,51,1011
772,1021,43,1021
773,1031,40,1031
774,997,43,997
775,1008,82,1008
776,933,38,933
777,998,50,998
778,1008,53,1008
779,955,38,955
780,996,44,996
781,1023,62,1023
782,1001,64,1001
783,1017,70,1017
784,1034,52,1034
785,936,57,936
786,959,54,959
787,927,45,927
788,995,41,995
789,1005,55,1005
790,1007,60,1007
791,960,52,960
792,902,56,902
793,999,41,999
794,1014,52,1014
795,951,39,951
796,1027,60,1027
797,903,56,903
798,1021,47,1021
799,1028,50,1028
800,981,44,981
801,979,47,979
802,1027,44,1027
803,959,51,959
804,999,43,999
805,1000,50,1000
806,1041,41,1041
807,1013,49,1013
808,982,48,982
809,1030,56,1030
810,1024,50,1024
811,1027,42,1027
812,1016,47,1016
813,1005,51,1005
814,982,46,982
815,994,53,994
816,1003,41,1003
817,957,43,957
818,990,46,990
819,848,32,848
820,979,40,979
821,987,44,987
822,927,36,927
823,1013,40,1013
824,1000,42,1000
825,991,40,991
826,990,65,990
827,1009,44,1009
828,1006,49,1006
829,987,68,987
830,1002,59,1002
831,1026,57,1026
832,993,46,993
833,991,65,991
834,1005,45,1005
835,1034,45,1034
836,965,42,965
837,993,47,993
838,971,41,971
839,1005,64,1005
840,1026,41,1026
841,977,41,977
842,989,50,989
843,854,49,854
844,1024,53,1024
845,1005,58,1005
846,1018,49,1018
847,1022,41,1022
848,1049,47,1049
849,976,58,976
850,1029,46,1029
851,1015,51,1015
852,987,61,987
853,1021,42,1021
854,1018,41,1018
855,983,45,983
856,966,48,966
857,1029,52,1029
858,1049,40,1049
859,934,43,934
860,979,48,979
861,987,44,987
862,1014,40,1014
863,1035,42,1035
864,1034,38,1034
865,990,41,990
866,1004,44,1004
867,984,54,984
868,995,41,995
869,1019,49,1019
870,1019,39,1019
871,971,69,971
872,992,44,992
873,986,43,986
874,997,54,997
875,1002,50,1002
876,1049,44,1049
877,1005,53,1005
878,1026,57,1025
879,972,45,972
880,999,37,999
881,975,47,975
882,953,37,953
883,1031,43,1031
884,1002,60,1002
885,985,44,985
886,980,51,980
887,939,49,939
888,1002,41,1002
889,1005,68,1005
890,953,56,953
891,937,42,937
892,1024,45,1024
893,1036,40,1036
894,962,46,962
895,1037,44,1037
896,999,44,999
897,1010,52,1010
898,1041,41,1041
899,1026,55,1026
900,1034,54,1034
901,991,59,991
902,978,40,978
903,1002,46,1002
904,1016,43,1016
905,1011,44,1011
906,1035,45,1035
907,928,58,928
908,993,48,993
909,1008,46,1008
910,1033,57,1033
911,980,47,980
912,1019,43,1019
913,976,41,976
914,965,53,965
915,1020,49,1020
916,986,40,986
917,1041,39,1041
918,1034,40,1034
919,985,46,985
920,1009,46,1009
921,1012,43,1012
922,1003,46,1003
923,963,48,963
924,948,50,948
925,1043,45,1043
926,1033,47,1033
927,1027,46,1027
928,1010,49,1010
929,997,49,997
930,989,43,989
931,999,42,999
932,1021,46,1021
933,984,47,984
934,975,47,975
935,1030,46,1030
936,1010,44,1010
937,1028,48,1028
938,1016,49,1016
939,1006,46,1006
940,1006,60,1006
941,1014,59,1014
942,967,59,967
943,933,57,933
944,1012,45,1012
945,969,49,969
946,1039,52,1039
947,1010,47,1010
948,1003,53,1003
949,876,52,876
950,984,46,984
951,962,56,962
952,981,58,981
953,1009,53,1009
954,1001,43,1001
955,987,47,987
956,897,70,896
957,966,49,966
958,1031,54,1031
959,1001,46,1001
960,1023,86,1023
961,984,43,984
962,999,48,999
963,1013,42,1013
964,994,46,994
965,873,42,873
966,1013,47,1013
967,992,48,992
968,1022,45,1022
969,1031,48,1031
970,965,45,965
971,985,46,985
972,995,55,995
973,970,47,970
974,1050,45,1050
975,1020,46,1020
976,979,47,979
977,999,46,999
978,1001,53,1001
979,1014,50,1014
980,974,64,974
981,986,52,986
982,993,63,993
983,1007,54,1007
984,1002,55,1002
985,1006,46,1006
986,1020,47,1020
987,938,65,938
988,1012,39,1012
989,1040,46,1040
990,1008,51,1008
991,931,49,931
992,1026,41,1026
993,1025,46,1025
994,851,40,851
995,1017,50,1017
996,1005,60,1005
997,977,45,977
998,955,55,955
999,1018,38,1018
